source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag
4062282289036362496,OGLE-BLG-LPV-180307,270.37857,-29.599277,LPV,Mira,122.38756,12.138,4.8030005,298.7,,,270.3785905742273,-29.5992657693665,0.005,0.004,90.0,270.37857029209,0.1528,-29.59927654991,0.1409,0.2129,0.1529,-4.096,0.309,-2.504,0.254,false,35358.2,2188.19,14.317141,2266.74,386.918,16.962885,80848.2,16814.4,12.492744,4.470141,,,0,3374.5,2.395,1.484,,,0.076041,4375.04647823065,2646.78461337154,8046.86595614583,-1.0669138209068763,-1.0669138209068763
4056577438487203200,OGLE-BLG-RRLYR-06109,268.33786,-29.104029,RRLYR,RRab,12.235151,16.658,2.337,0.542998,,,268.3378753616793,-29.1040122269373,0.005,0.004,90.0,268.33786040776,0.196,-29.10402938176,0.1759,-0.2055,0.2031,-3.035,0.355,-3.984,0.289,false,1347.57,18.537,17.864489,572.335,22.3407,18.457262,2690.27,70.4209,16.18743,2.269833,,,0,,,,,,0.077336,7162.65236112766,4389.23182996263,11551.1344345732,2.38263157996823,2.38263157996823
4685925735091160704,OGLE-SMC-ECL-1627,12.335333,-73.41236,ECL,ED,7.7342334,16.305,-0.21899986,3.0469675,,,12.3353224075872,-73.4123545211909,0.001,0.001,90.0,12.33533227423,0.0435,-73.41235941655,0.0363,-0.0255,0.0455,0.654,0.091,-1.137,0.074,false,6723.49,15.9067,16.119379,5998.62,105.03,15.90626,2652.82,47.4112,16.202652,-0.296392,,,0,8741.67,,,,,0.022529,6977.4074322132,5838.89949238636,8413.92608611416,2.0865298876459484,2.0865298876459484
4657995528400930816,OGLE-LMC-ECL-18238,82.89,-69.94647,ECL,ED,8.41042,16.776,0.039001465,7.815315,,,82.8899831562947,-69.9464722531295,0.004,0.003,0.0,82.88999886511,0.0932,-69.94647069259,0.1372,-0.2174,0.1124,1.251,0.195,0.362,0.271,false,3409.34,7.3623,16.85669,3142.8,78.2563,16.608095,1948.21,28.3029,16.537828,0.070267,,,0,7841.0,,,,,0.022319,4722.9294868855,3738.41963752473,6011.60067043713,3.4049417610690185,3.4049417610690185
4050242327438788608,OGLE-BLG-ECL-253512,270.3435,-29.853527,ECL,C,20.791338,15.256,1.0530005,0.3970712,,,270.3434960775915,-29.8535281937321,0.002,0.001,90.0,270.34349921752,0.0599,-29.85352658628,0.0593,0.6545,0.0771,0.632,0.112,0.373,0.092,false,6410.66,54.4988,16.17111,3316.3,199.485,16.549755,6508.16,229.986,15.228273,1.321482,,,0,4848.5,,,1.17,0.677,0.012979,1489.43969146535,1327.19815818637,1695.9255313741,4.390884950142153,4.390884950142153
4062282048284601728,OGLE-BLG-ECL-253506,270.34338,-29.644361,ECL,NC,13.643878,15.311,1.2860003,0.2624267,,,270.3433722037513,-29.6443549045624,0.002,0.001,90.0,270.34338094115,0.0588,-29.64436097031,0.0537,0.6858,0.0681,1.764,0.112,-1.409,0.093,false,5505.19,30.93,16.336435,2516.46,66.4578,16.849413,5528.25,136.185,15.405451,1.443962,,,0,4472.0,,,1.29,0.6,0.032811,1417.26257115416,1287.34930077192,1575.75015026142,4.5537482808856975,4.5537482808856975
4063176501163505664,OGLE-BLG-ELL-016837,270.44995,-27.269472,ELL,ELL,9.421036,15.236,4.441,129.25842,,,270.4499418446233,-27.2694535746788,0.005,0.005,90.0,270.44995052212,0.1837,-27.26947275017,0.1897,0.0747,0.2878,1.791,0.348,-4.454,0.302,false,3305.75,16.2062,16.890192,685.403,54.2327,18.261524,6598.16,215.085,15.213364,3.048161,,,0,4012.71,,,,,0.07128,4832.02954395846,2632.92907649061,8714.98666835367,1.8153521561290233,1.8153521561290233
4063304009966281600,OGLE-BLG-ECL-282577,271.0145,-26.830805,ECL,NC,8.977241,15.512,1.4119997,0.6361614,,,271.0144975128334,-26.8308062375604,0.002,0.002,90.0,271.01450070684,0.0768,-26.83080435391,0.0683,0.2658,0.0715,0.662,0.15,0.437,0.124,false,4518.45,19.7583,16.550892,2004.69,51.5251,17.096272,4973.56,71.8913,15.520252,1.576019,,,0,4460.0,,,,,0.009148,3461.84880086336,2696.14077982312,4757.15982226625,2.8154596050258256,2.8154596050258256
4043726484035011328,OGLE-BLG-ECL-248516,270.23282,-32.04014,ECL,NC,11.38779,15.012,1.4089994,0.8062522,,,270.2328419590981,-32.0401275932725,0.002,0.002,90.0,270.23282096677,0.0762,-32.0401408191,0.077,0.3613,0.088,-4.133,0.143,-3.072,0.111,false,6903.64,35.5638,16.09067,2922.76,98.7699,16.686907,7423.61,249.195,15.085382,1.601524,,,0,4449.21,,,,,0.080532,2687.91160803828,2090.06533399733,3728.92963243829,2.8649251697011735,2.8649251697011735
4064822676232055424,OGLE-BLG-ECL-341592,272.5205,-26.030972,ECL,NC,11.5050955,15.584,1.3040009,0.8961939,,,272.520493184756,-26.0309673421051,0.004,0.003,90.0,272.5204987167,0.174,-26.0309721422,0.1338,0.0026,0.1853,1.155,0.268,-1.115,0.222,false,4449.02,25.1055,16.567703,2288.91,73.2806,16.952318,4917.15,115.713,15.532636,1.419683,,,0,4848.5,,,,,0.027698,5531.41218825581,3398.82313505423,9115.39921889576,1.869819522228724,1.869819522228724
