source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag,V
4050419593507074176,OGLE-BLG-RRLYR-13198,271.48074,-28.807583,RRLYR,RRd,5.6978397,17.126,1.2340012,0.32174733,,,271.48073889464,0.3585,-28.80758295725,0.2914,,,,,,,1130.32,23.7551,18.055359,,,,,,,,,,0,,,,,,0.00349,,,,,,-15.891998250683594
4056292737926396416,OGLE-BLG-RRLYR-07655,268.9587,-29.922667,RRLYR,RRab,9.079449,16.387,1.8640003,0.5883146,,,268.95870067786,1.928,-29.92266545931,1.7047,,,,,,,1946.99,19.0338,17.464954,,,,,,,,,,0,,,,,,0.005936,,,,,,-14.522998830249023
4658181311463416960,OGLE-LMC-ECL-12544,79.72704,-69.321304,ECL,ED,5.93574,16.72,-0.031000137,1.510275,,,79.72703537494,0.8117,-69.32130470994,1.0901,,,,,,,3373.3,34.0333,16.868229,3691.17,79.4405,16.43348,2366.76,42.2636,16.326532,0.106947,,,0,6398.75,,,,,0.006411,,,,,,-16.75099945035449
4062593278949521664,OGLE-BLG-ECL-223320,269.6785,-28.48286,ECL,NC,9.67356,15.553,1.4609995,3.998378,,,269.67850198486,0.8602,-28.48285913623,0.7082,,,,,,,3667.73,61.711,16.77737,1871.5,48.8908,17.170914,6502.44,394.126,15.22923,1.941684,,,0,4848.5,,,,,0.007008,,,,,,-14.092000950134278
4062311494596197376,OGLE-BLG-RRLYR-11248,270.4715,-29.151806,RRLYR,RRab,10.609948,15.877,1.4130011,0.6712952,,,270.47150181447,0.9832,-29.15180779583,0.8131,,,,,,,3307.26,43.5065,16.889694,,,,,,,,,,0,,,,,,0.008622,,,,,,-14.463998755041503
4043592175970841472,OGLE-BLG-ECL-191007,268.98734,-31.95764,ECL,NC,8.560457,13.649,1.1149998,3.8360777,,,268.98734192924,1.6753,-31.95763780606,1.6323,,,,,,,30418.0,83.4147,14.48054,14051.0,57.5361,14.982122,28332.5,908.963,13.631207,1.350915,,,0,4831.92,,,,,0.009854,,,,,,-12.53400036784668
4062480548850188544,OGLE-BLG-LPV-172461,270.14484,-28.650473,LPV,Mira,184.9724,14.741,,595.2,,,270.14483684653,2.7333,-28.6504729191,2.4972,,,,,,,1979.58,48.8519,17.44693,1030.88,134.641,17.818373,6598.46,393.799,15.213314,2.605059,,,0,,,,,,0.009967,,,,,,
4687217175867825792,OGLE-SMC-CEP-3675,16.218166,-73.02725,CEP,F,14.26435,16.417,0.4960003,1.6443642,,,16.21817514855,0.9005,-73.02725112042,0.659,,,,,,,3083.76,39.7503,16.965662,2179.15,90.3451,17.005669,2027.74,55.4267,16.494389,0.51128,,,0,6911.72,,,,,0.010426,,,,,,-15.92099951689453
4061310702777908864,OGLE-BLG-RRLYR-01190,264.13608,-27.30175,RRLYR,RRab,5.737218,18.001,2.401001,0.6569527,,,264.13607622216,0.5916,-27.3017508867,0.4364,,,,,,,328.166,6.60855,19.398132,,,,,,,,,,0,,,,,,0.0125,,,,,,-15.599998450683593
4685783863667392512,OGLE-SMC-CEP-1009,11.901709,-73.54808,CEP,F,13.66806,17.182,0.55400085,1.1257178,,,11.90169984158,0.9158,-73.54808232841,0.7768,,,,,,,1493.31,27.7746,17.752987,1305.75,18.2058,17.561737,1685.38,38.0912,16.695175,0.866562,,,0,,,,,,0.012548,,,,,,-16.627998356542967
4056539543931562112,OGLE-BLG-LPV-123183,268.91605,-29.21611,LPV,Mira,49.766792,14.725,4.5079994,119.37,,,268.91604556106,0.3558,-29.21611128653,0.321,,,,,,,5620.65,125.507,16.3139,808.885,66.1934,18.08167,12142.3,809.207,14.551164,3.530507,,,0,3973.77,,,,,0.014696,,,,,,-10.217000981469727
4063071639378950528,OGLE-BLG-LPV-219498,272.30426,-26.90639,LPV,Mira,201.75371,14.29,,453.2,,,272.30425603745,3.0056,-26.90639213725,2.7959,,,,,,,1450.06,82.1605,17.784903,,,,,,,,,,0,,,,,,0.014867,,,,,,
4056566030931353728,OGLE-BLG-RRLYR-05106,267.99124,-29.390167,RRLYR,RRab,5.3736486,18.075,,0.5413387,,,267.99124484946,3.283,-29.39016724272,2.0414,,,,,,,317.389,8.87436,19.434385,,,,,,,,,,0,,,,,,0.015236,,,,,,
4056073453997705344,OGLE-BLG-RRLYR-06111,268.3392,-31.127666,RRLYR,RRab,9.71343,16.854,1.3190002,0.5454448,,,268.33920251176,1.1127,-31.12766970158,0.9562,,,,,,,1349.51,40.0906,17.862926,779.859,57.4847,18.121347,3284.2,113.078,15.970844,2.150503,,,0,,,,,,0.015411,,,,,,-15.534999891552735
4063039955515125888,OGLE-BLG-ECL-303720,271.50146,-27.35811,ECL,NC,10.16623,16.677,1.4069996,3.9759848,,,271.50146512237,0.5804,-27.35810960896,0.5178,,,,,,,1545.42,33.3135,17.715752,,,,,,,,,,0,,,,,,0.016438,,,,,,-15.270000445776367
4042393669868583040,OGLE-BLG-ECL-198699,269.1485,-33.745,ECL,NC,29.52059,15.908,1.415,6.615067,,,269.14849881416,0.7941,-33.74500463034,0.7054,,,,,,,3010.69,23.0061,16.9917,1566.82,50.4011,17.363842,4016.74,91.4231,15.752235,1.611607,,,0,4889.91,,,,,0.017043,,,,,,-14.492999992370606
4063018484849821440,OGLE-BLG-LPV-220100,272.36224,-27.068083,LPV,Mira,131.35582,16.353,4.588999,488.6,,,272.36223898925,0.4525,-27.06808771235,0.3862,,,,,,,1610.09,128.982,17.671244,,,,,,,,,,0,,,,,,0.017271,,,,,,-11.76400164086914
4056226247545745920,OGLE-BLG-ECL-201071,269.19812,-30.214027,ECL,C,12.03995,16.938,1.328001,0.2935945,,,269.19811402723,10.342,-30.2140260672,9.2998,,,,,,,1069.75,32.7132,18.115156,,,,,,,,,,0,,,,,,0.018882,,,,,,-15.609998725341796
4040076247024039296,OGLE-BLG-RRLYR-02793,266.9095,-36.914196,RRLYR,RRab,8.378627,15.417,1.3670006,0.6419862,,,266.90950622932,0.4603,-36.91419781467,0.3738,,,,,,,5266.18,37.2679,16.384626,,,,,,,,,,0,,,,,,0.019083,,,,,,-14.04999921689453
4658166296254332544,OGLE-LMC-RRLYR-11558,79.94713,-69.67181,RRLYR,RRab,5.0697365,18.606,0.5109997,0.5697248,-1.466,-1.639,79.94714398866,0.8479,-69.67181239671,1.1453,,,,,,,397.888,8.75655,19.188965,717.783,47.3479,18.211405,667.964,26.8703,17.700037,0.511368,,,0,,,,,,0.019507,,,,,,-18.095001200268555
4685872340009587584,OGLE-SMC-CEP-1191,12.152291,-73.65122,CEP,F/1O,7.9989724,16.919,0.55399895,1.5870337,,,12.15229606788,0.7443,-73.65122540647,0.5958,,,,,,,2405.12,50.0109,17.235525,1962.45,71.6695,17.119392,2825.87,41.3204,16.134039,0.985353,,,0,,,,,,0.020129,,,,,,-16.36500167561035
4062302320759187072,OGLE-BLG-RRLYR-10797,270.2548,-29.326416,RRLYR,RRc,7.088634,16.428,1.5030003,0.32722744,,,270.25479338726,7.1432,-29.32641396356,2.1934,,,,,,,1830.47,25.1002,17.53196,,,,,,,,,,0,,,,,,0.022012,,,,,,-14.92499919645996
4057235672160132992,OGLE-BLG-LPV-055195,267.426,-29.345417,LPV,Mira,19.167902,17.818,,373.0,,,267.42600669552,1.0752,-29.34541506575,0.8195,,,,,,,205.132,9.87819,19.908283,,,,,,,,,,0,,,,,,0.022135,,,,,,
4041550000830728192,OGLE-BLG-ELL-006726,267.14624,-34.54711,ELL,ELL,7.3842726,15.41,2.1289997,20.605577,,,267.14624503314,0.6895,-34.54711520425,0.5318,,,,,,,3767.76,23.7233,16.748158,,,,,,,,,,0,,,,,,0.023953,,,,,,-13.28100014741211
4658166914784496000,OGLE-LMC-RRLYR-12225,80.22862,-69.66797,RRLYR,RRab,5.0828543,18.787,0.47599983,0.4752885,-1.277,-1.508,80.2286009357,0.9921,-69.66797099842,2.5837,,,,,,,460.012,16.4937,19.031443,,,,,,,,,,0,,,,,,0.024116,,,,,,-18.31100082612793
4056240575473749120,OGLE-BLG-ELL-014594,269.75107,-30.088972,ELL,ELL,7.944711,15.91,1.3789997,19.952955,,,269.75107432307,0.4567,-30.08897769708,0.3854,,,,,,,3565.35,41.4918,16.808111,1690.59,76.426,17.28129,6960.91,191.74,15.155254,2.126036,,,0,4546.0,,,,,0.024535,,,,,,-14.53100014741211
4056503908502394112,OGLE-BLG-RRLYR-06855,268.61414,-29.57036,RRLYR,RRab,16.50831,15.995,1.8410006,0.5408642,,,268.61413228815,0.6416,-29.57036125148,0.5342,,,,,,,2491.35,77.3911,17.197277,1496.95,98.5407,17.41337,6106.58,668.394,15.297425,2.115945,,,0,,,,,,0.024563,,,,,,-14.153999285559081
4043692884402978944,OGLE-BLG-RRLYR-09398,269.66586,-32.44889,RRLYR,RRab,14.48194,16.057,1.6950016,0.73086995,,,269.6658538311,2.0223,-32.44889455587,2.0884,,,,,,,3086.78,80.6517,16.964602,1334.87,72.5571,17.537786,5085.06,223.434,15.496179,2.041608,,,0,4457.25,,,,,0.024904,,,,,,-14.36199760654297
4055947972276477184,OGLE-BLG-LPV-046240,267.1607,-30.778278,LPV,Mira,56.6124,15.31,,362.8,,,267.16070790651,2.1252,-30.7782802651,1.745,,,,,,,2432.01,137.263,17.223452,,,,,,,,,,0,,,,,,0.025778,,,,,,
4062932035828664832,OGLE-BLG-ECL-306448,271.57028,-27.541056,ECL,NC,6.6962595,16.707,1.2159996,0.6164233,,,271.57027572834,0.6389,-27.54106212586,0.5365,,,,,,,1258.93,11.6274,17.938366,1230.04,417.406,17.626589,,,,,,,0,,,,,,0.025928,,,,,,-15.491001132421875
4061311183872367360,OGLE-BLG-RRLYR-01166,264.0722,-27.306444,RRLYR,RRab,10.81917,15.769,2.4970007,0.49534038,,,264.07220697837,0.9784,-27.30644789622,0.9588,,,,,,,2407.81,42.8311,17.234308,841.896,39.3816,18.038242,5012.1,108.144,15.511871,2.526371,,,0,,,,,,0.026364,,,,,,-13.27199935340576
4062791775173863040,OGLE-BLG-LPV-173210,270.16663,-27.502056,LPV,Mira,136.10957,13.897,6.596999,377.0,,,270.1666255205,5.1033,-27.50206216009,0.2743,,,,,,,38548.8,341.415,14.223339,1106.92,119.226,17.741093,75669.2,1960.89,12.564622,5.176471,,,0,3296.67,,,,,0.026389,,,,,,-7.3000013128051755
4685731293265379072,OGLE-SMC-CEP-0373,10.188375,-74.1047,CEP,F,9.617443,17.329,0.61800003,1.25912,,,10.18839353968,0.7936,-74.10469460399,0.5569,,,,,,,1517.67,41.453,17.735424,1839.34,118.377,17.189734,2213.06,69.8045,16.399437,0.790297,,,0,,,,,,0.026674,,,,,,-16.71100044302246
4041810073797847808,OGLE-BLG-LPV-030528,266.42038,-34.03914,LPV,Mira,54.677124,17.974,,587.8,,,266.42038852749,1.8351,-34.03914231025,1.3565,,,,,,,589.789,16.1697,18.761625,223.906,16.0774,19.476225,2605.06,416.726,16.222374,3.253851,,,0,,,,,,0.026764,,,,,,
4062738727857989632,OGLE-BLG-ECL-251380,270.2939,-27.687973,ECL,C,16.440977,15.755,1.0379992,0.4204582,,,270.2938988616,1.2518,-27.68798051157,2.6693,,,,,,,3152.54,71.9681,16.941715,2271.76,47.6379,16.960484,7723.87,314.369,15.042332,1.918152,,,0,5143.45,,,,,0.027284,,,,,,-14.717000914440918
4062558545444875904,OGLE-BLG-RRLYR-08617,269.3467,-28.772444,RRLYR,RRab,15.036298,16.026,1.6750011,0.47551036,,,269.34670829081,1.2667,-28.77244635814,1.1354,,,,,,,2295.26,53.2092,17.286287,1412.02,96.3612,17.476786,4831.85,366.204,15.551636,1.92515,,,0,,,,,,0.027505,,,,,,-14.350997969213868
4044022458722068096,OGLE-BLG-RRLYR-07521,268.8985,-31.681555,RRLYR,RRc,8.07972,16.558,,0.27931687,,,268.89850321605,0.5654,-31.68156224078,0.4161,,,,,,,1597.84,18.7794,17.679533,,,,,,,,,,0,,,,,,0.027867,,,,,,
4056556861244267008,OGLE-BLG-ECL-166072,268.46234,-29.368279,ECL,NC,11.484445,14.85,1.1389999,1.8669976,,,268.46234830021,0.9714,-29.36828236954,0.8847,,,,,,,10568.7,155.481,15.628312,5387.92,146.141,16.022835,13682.7,235.224,14.421487,1.601348,,,0,4833.54,,,,,0.028727,,,,,,-13.711000481469727
